Video Name,Date,Time,Total Count,Car Count,Truck Count,Bus Count,Motorcycle Count
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
lane1.mp4,2024-08-27,22:31:08,700,696,4,0,0
lane2.mp4,2024-08-27,22:31:28,3315,2919,236,160,0
lane3.mp4,2024-08-27,22:31:48,2985,2400,257,125,203
lane4.mp4,2024-08-27,22:32:08,2927,2133,379,398,17
lane1.mp4,2024-08-27,22:34:20,704,700,4,0,0
lane2.mp4,2024-08-27,22:34:41,3200,2813,231,156,0
lane3.mp4,2024-08-27,22:35:01,3235,2619,276,136,204
lane4.mp4,2024-08-27,22:35:21,2978,2173,383,404,18
lane1.mp4,2024-08-27,22:39:06,700,696,4,0,0
lane2.mp4,2024-08-27,22:39:26,3108,2730,226,152,0
lane3.mp4,2024-08-27,22:39:46,3168,2560,271,133,204
lane4.mp4,2024-08-27,22:40:06,3030,2213,389,410,18
lane1.mp4,2024-08-27,22:44:57,721,717,4,0,0
lane1.mp4,2024-08-27,22:45:17,1938,1815,113,10,0
lane1.mp4,2024-08-27,22:45:37,2888,2626,226,36,0
lane1.mp4,2024-08-27,22:45:57,640,636,4,0,0
lane1.mp4,2024-08-27,22:50:46,717,713,4,0,0
lane2.mp4,2024-08-27,22:51:06,3265,2873,234,158,0
lane3.mp4,2024-08-27,22:51:26,3330,2698,284,140,208
lane4.mp4,2024-08-27,22:51:46,3111,2276,396,421,18
lane1.mp4,2024-08-27,22:58:28,700,696,4,0,0
lane2.mp4,2024-08-27,22:58:48,3155,2772,229,154,0
lane3.mp4,2024-08-27,22:59:08,3189,2579,272,134,204
lane4.mp4,2024-08-27,22:59:28,3048,2227,391,412,18
lane1.mp4,2024-08-27,23:06:29,704,700,4,0,0
lane1.mp4,2024-08-27,23:06:49,1909,1791,113,5,0
lane1.mp4,2024-08-27,23:07:09,2874,2615,223,36,0
lane2.mp4,2024-08-27,23:07:29,2609,2288,189,132,0
lane2.mp4,2024-08-27,23:07:49,6049,5374,449,226,0
lane2.mp4,2024-08-27,23:08:09,9525,8423,802,300,0
lane2.mp4,2024-08-27,23:08:29,12726,11137,1201,388,0
lane1.mp4,2024-08-28,10:15:39,467,463,4,0,0
lane1.mp4,2024-08-28,10:17:58,432,428,4,0,0
lane1.mp4,2024-08-28,14:06:10,585,581,4,0,0
lane1.mp4,2024-08-28,14:06:30,1696,1597,95,4,0
lane1.mp4,2024-08-28,14:06:50,2728,2484,213,31,0
lane2.mp4,2024-08-28,14:07:10,1066,939,68,59,0
